Data Series,total_deposits_from_non-bank_customer,Prime Lending Rate,CPI_all_items_base_2019,DSPI_all_items_base_2018,IPI_all_items_base_2018,EPI_all_items_base_2018,lag3q_Total Population (Number),lag3q_Total Population Growth (Per Cent),lag3q_Age Dependency Ratio: Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years (Number),lag3q_per_capita_GDP_in_chain_2015,GDP_year_on_year_growth_rate_current_price,gross_fixed_capital_formation_current_price,total_government_debt,domestic_debt,external_debt,Personal Disposable Income (Million Dollars),Personal Saving (Million Dollars),Personal Saving Rate (Per Cent),composite_leading_index_base_2015,gross_fixed_capital_formation_in_chain_2015,Unit Labour Cost Of Overall Economy,GDP_in_chain_2015,GDP_year_on_year_growth_rate_in_chain_2015,average_MNE_per_employee_overall_economy,total_change_in_employment_quarterly,housing_and_development_board_resale_price_index,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,household_net_worth,Total Unemployment Rate,Resident Unemployment Rate,Citizen Unemployment Rate
1991 1Q,194776.5,7.4366666666666665,64.28133333333334,107.33666666666666,118.77266666666667,179.6483333333333,3047132.0,2.3,40.8,31996.0,11.1,6147.5,54882.7,54821.7,61.1,10497.8,2179.8,20.8,51.8,6794.6,79.0,25457.6,6.4,,8500.0,24.9,,,,,,,
1991 2Q,198990.8,7.523333333333333,64.77266666666667,102.60766666666666,115.45466666666668,170.18566666666666,3047132.0,2.3,40.8,31996.0,11.5,6669.9,55761.1,55710.7,50.4,10067.8,1852.3,18.4,53.3,7343.2,80.9,25819.2,6.5,,15800.0,25.5,,,,,,,
1991 3Q,206741.09999999998,7.890000000000001,65.12400000000001,101.44833333333334,114.30033333333334,167.68566666666666,3047132.0,2.3,40.8,31996.0,12.4,6662.5,57169.3,57121.1,48.3,10521.4,2040.7,19.4,54.5,7297.9,81.6,26244.2,7.3,,15500.0,25.2,,,,,,,
1991 4Q,211731.7,7.483333333333333,65.42533333333334,101.22966666666667,113.86766666666666,165.38066666666666,3135083.0,2.9,41.0,33178.0,10.7,6552.9,59041.1,59000.3,40.8,12412.4,3463.3,27.9,54.1,7141.4,82.6,26456.1,6.5,,12600.0,25.1,,,,,,,
1992 1Q,218934.09999999998,6.303333333333334,65.71,97.90899999999999,110.98133333333332,159.644,3135083.0,2.9,41.0,33178.0,7.8,6933.7,62031.3,61993.4,37.9,11200.1,2228.7,19.9,54.7,7462.0,83.5,26919.1,5.7,,15900.0,25.8,,,,,1.5,1.8,1.8
1992 2Q,226763.09999999998,6.163333333333333,66.24566666666666,99.444,112.64066666666668,159.5956666666667,3135083.0,2.9,41.0,33178.0,6.9,7236.7,63701.7,63667.0,34.6,10509.8,1553.0,14.8,56.0,7759.5,84.1,27242.4,5.4,,6200.0,27.4,,,,,2.4,2.8,2.9
1992 3Q,232916.5,5.793333333333333,66.58633333333334,99.16300000000001,112.17166666666667,159.44866666666667,3135083.0,2.9,41.0,33178.0,7.6,7393.4,66004.1,65973.3,30.8,10961.8,1770.5,16.2,55.8,7897.1,83.9,27973.8,6.7,,7700.0,28.0,,,,,1.6,2.0,2.0
1992 4Q,234922.8,5.55,66.88666666666667,98.097,110.98166666666667,159.79166666666666,3230698.0,3.0,41.0,34334.0,10.1,8326.7,67252.5,67228.2,24.3,13000.9,3325.3,25.6,57.0,8875.4,83.7,28725.1,8.7,,10500.0,28.6,,,,,1.7,2.0,2.0
1993 1Q,233819.7,5.493333333333333,67.344,96.25,109.57600000000001,158.419,3230698.0,3.0,41.0,34334.0,13.0,7729.4,69635.4,69613.1,22.3,11924.9,1536.7,12.9,58.3,8142.5,83.8,29362.8,9.0,,15900.0,30.2,,,,,1.2,1.5,1.6
1993 2Q,240924.3,5.36,67.67833333333334,97.28333333333335,110.69266666666665,157.63433333333333,3230698.0,3.0,41.0,34334.0,16.0,8340.3,70457.3,70439.5,17.8,11530.1,1209.7,10.5,58.5,8632.1,83.6,30626.7,12.3,,10300.0,39.6,,,,,2.4,2.8,2.9
1993 3Q,246009.09999999998,5.36,68.019,95.717,109.35866666666668,154.83933333333334,3230698.0,3.0,41.0,34334.0,15.3,8567.8,72316.7,72301.0,15.7,12096.3,1462.0,12.1,58.8,8833.8,84.0,31160.6,11.5,,18600.0,47.7,,,,,1.5,1.8,1.9
1993 4Q,256680.59999999998,5.34,68.46966666666667,94.30766666666666,107.91633333333334,153.17133333333334,3313471.0,2.6,41.3,37312.0,16.8,9287.1,69822.0,69810.4,11.6,14562.0,3188.1,21.9,61.5,9513.8,84.4,32391.3,12.9,,25900.0,49.0,,,,,1.7,2.1,2.1
1994 1Q,255352.5,5.56,69.07866666666666,93.02300000000001,107.12266666666666,150.47566666666668,3313471.0,2.6,41.3,37312.0,16.6,9030.3,71365.9,71356.2,9.7,13616.5,1427.0,10.5,61.4,9199.7,84.3,33391.2,13.5,,9000.0,50.4,,,,,1.4,1.8,1.8
1994 2Q,266055.5,5.706666666666667,69.785,93.77499999999999,108.02499999999999,149.39700000000002,3313471.0,2.6,41.3,37312.0,14.0,8931.7,72264.6,72257.3,7.3,13040.5,1528.7,11.7,62.2,9173.8,85.3,33772.9,10.3,,28900.0,51.7,,,,,2.2,2.7,2.8
1994 3Q,279915.6,5.916666666666667,70.328,94.71433333333334,109.21466666666667,149.59433333333334,3313471.0,2.6,41.3,37312.0,16.3,9510.2,74071.1,74063.8,7.3,13830.3,1805.8,13.1,63.2,9836.8,85.7,34809.2,11.8,,7900.0,54.6,,,,,1.4,1.7,1.8
1994 4Q,291963.6,6.330000000000001,70.72166666666666,94.21366666666665,108.74533333333333,149.24966666666668,3419048.0,3.2,41.5,40173.0,13.1,10071.8,75344.4,75339.7,4.7,16578.6,3941.1,23.8,64.2,10390.0,87.4,35324.4,9.0,,26300.0,54.8,,,,,1.9,2.4,2.4
1995 1Q,300190.7,6.489999999999999,70.802,95.27499999999999,109.56133333333332,149.39133333333334,3419048.0,3.2,41.5,40173.0,10.0,9265.1,79106.1,79101.3,4.8,15357.2,2870.9,18.7,63.4,9658.7,89.1,35181.3,5.3,,14200.0,57.3,,,,423765.3,1.5,1.8,1.9
1995 2Q,309114.8,6.44,71.23966666666666,94.60166666666667,109.08033333333333,147.21,3419048.0,3.2,41.5,40173.0,11.7,9708.3,82029.9,82027.6,2.3,14764.2,2329.1,15.8,63.7,10104.5,87.9,36239.2,7.4,,27100.0,63.9,,,,446338.4,2.5,3.2,3.2
1995 3Q,311506.0,6.286666666666666,71.30266666666667,93.18,107.57266666666665,145.862,3419048.0,3.2,41.5,40173.0,10.4,10396.5,84246.1,84243.8,2.3,15582.8,2950.4,18.9,65.1,10879.3,86.9,37676.2,8.2,,20400.0,67.7,,,,459654.0,1.2,1.5,1.5
1995 4Q,319829.3,6.260000000000001,71.39733333333334,92.80433333333333,106.59566666666666,145.90166666666667,3524506.0,3.1,41.6,41767.0,10.2,11934.6,86507.6,86507.6,0.0,18378.1,5065.3,27.6,64.4,12689.6,88.5,38043.3,7.7,,47300.0,73.7,,,,484401.4,1.8,2.3,2.4
1996 1Q,330260.1,6.260000000000001,71.74966666666667,92.682,105.824,143.94966666666667,3524506.0,3.1,41.6,41767.0,13.3,12106.9,90584.8,90584.8,0.0,17045.6,3548.1,20.8,64.6,12735.9,88.2,39337.5,11.7,,17400.0,80.5,,,,510411.3,1.5,2.0,2.0
1996 2Q,341888.1,6.260000000000001,72.06566666666667,91.17199999999998,103.95566666666666,141.56766666666667,3524506.0,3.1,41.6,41767.0,10.2,13005.6,92264.4,92264.4,0.0,16258.3,2861.1,17.6,65.0,13584.1,90.2,39280.3,8.6,,23300.0,90.9,,,,543731.1,2.4,3.1,3.2
1996 3Q,346774.0,6.260000000000001,72.30833333333334,89.90366666666667,102.76233333333334,139.149,3524506.0,3.1,41.6,41767.0,5.7,12133.8,92595.7,92595.7,0.0,16880.7,3215.0,19.0,64.7,12566.9,91.7,39284.0,4.2,,22100.0,96.4,,,,546888.4,1.1,1.5,1.5
1996 4Q,351049.3,6.260000000000001,72.54466666666667,90.70933333333333,103.24133333333333,137.76666666666668,3670704.0,4.1,41.5,43100.0,7.7,14181.1,94830.7,94830.7,0.0,19716.3,5393.3,27.4,65.5,14894.3,90.6,40335.0,5.8,,39800.0,99.0,,,,551652.7,1.6,2.1,2.2
1997 1Q,358751.9,6.260000000000001,72.97466666666666,88.71066666666667,101.153,133.74566666666666,3670704.0,4.1,41.5,43100.0,6.2,12779.3,98757.7,98757.7,0.0,18391.4,3873.8,21.1,66.5,13337.6,90.0,41566.8,5.7,,16200.0,98.6,,,,549071.8,1.2,1.6,1.7
1997 2Q,358822.9,6.260000000000001,73.33833333333332,86.71533333333333,99.05433333333333,131.109,3670704.0,4.1,41.5,43100.0,11.0,13327.6,99001.4,99001.4,0.0,17696.1,3363.7,19.0,67.6,13965.1,89.7,42937.1,9.5,,37200.0,97.5,,,,548763.2,1.9,2.5,2.6
1997 3Q,365462.2,6.260000000000001,73.98066666666666,86.06366666666668,99.303,130.756,3670704.0,4.1,41.5,43100.0,12.8,15204.3,100455.9,100455.9,0.0,18490.9,3327.7,18.0,67.4,15746.8,90.0,43615.3,10.9,,31100.0,93.6,,,,543014.7,1.0,1.4,1.5
1997 4Q,369224.0,6.510000000000001,74.21466666666667,88.36266666666666,102.235,135.11433333333335,3796038.0,3.4,41.4,45143.0,8.0,15825.4,102371.9,102371.9,0.0,21520.2,6394.5,29.7,65.9,16407.5,92.4,43258.7,7.1,,35800.0,88.0,,,,523461.6,1.6,2.3,2.3
1998 1Q,381798.7,7.773333333333333,73.79333333333334,86.45866666666666,101.25833333333333,134.75166666666667,3796038.0,3.4,41.4,45143.0,3.5,14909.4,106088.3,106088.3,0.0,19894.8,5136.2,25.8,63.1,15020.6,95.8,42144.3,1.5,,9100.0,81.7,,,,505544.6,1.4,2.0,2.1
1998 2Q,388653.0,7.773333333333333,73.43066666666667,84.45733333333334,99.14433333333334,129.88766666666666,3796038.0,3.4,41.4,45143.0,-2.7,13371.5,107620.0,107620.0,0.0,18591.5,4485.2,24.1,61.2,13820.2,96.3,41830.6,-2.4,,-5900.0,78.3,,,,484537.6,2.5,3.4,3.5
1998 3Q,399949.2,7.706666666666667,73.313,84.629,99.74266666666666,132.09433333333334,3796038.0,3.4,41.4,45143.0,-6.2,13717.3,110313.3,110313.3,0.0,18648.5,4845.4,26.0,61.5,14209.7,95.8,41485.7,-5.0,,-20300.0,74.9,,,,472055.6,2.5,3.5,3.6
1998 4Q,456255.1,6.513333333333333,73.17333333333333,83.01033333333334,98.15966666666667,128.14700000000002,3927213.0,3.5,41.3,42679.0,-7.8,12546.2,115183.3,115183.3,0.0,20618.9,6682.6,32.4,63.0,13420.7,91.7,42225.7,-2.6,,-6300.0,72.3,,,,464385.5,3.6,4.9,5.1
1999 1Q,491553.30000000005,5.8,73.25966666666666,82.57433333333334,97.96199999999999,128.87300000000002,3927213.0,3.5,41.3,42679.0,-5.8,12230.5,119679.3,119679.3,0.0,18611.8,3789.1,20.4,65.2,12819.1,88.6,42973.1,2.2,,-9600.0,71.2,,,,475996.7,2.6,3.6,3.7
1999 2Q,503176.19999999995,5.8,73.41866666666667,85.39666666666666,100.36333333333334,130.60333333333335,3927213.0,3.5,41.3,42679.0,1.0,12290.2,122529.5,122529.5,0.0,17604.8,2547.7,14.5,69.7,13125.2,88.1,44059.2,5.4,,15500.0,72.2,,,,506047.0,3.6,4.9,5.0
1999 3Q,511808.6,5.8,73.54933333333334,87.27566666666667,101.56366666666668,133.34366666666668,3927213.0,3.5,41.3,42679.0,4.4,13556.2,123686.1,123686.1,0.0,18125.0,2761.7,15.2,71.7,14365.4,87.2,44901.5,8.0,,7700.0,78.1,,,,537905.2,2.4,3.2,3.3
1999 4Q,514391.7,5.8,73.55066666666666,90.44833333333334,104.85833333333333,135.511,3958723.0,0.8,41.2,44761.0,8.2,12487.9,125777.1,125777.1,0.0,21362.5,5326.3,24.9,73.3,13618.7,89.7,45276.7,7.1,,26300.0,79.8,,,,558280.4,2.6,3.5,3.6
2000 1Q,522140.9,5.833333333333333,74.09166666666665,93.062,108.964,137.29033333333334,3958723.0,0.8,41.2,44761.0,12.8,13303.9,128498.2,128498.2,0.0,20868.9,4004.9,19.2,72.8,14718.6,89.2,46764.0,9.0,,13700.0,80.3,,,,567097.1,2.3,3.2,3.4
2000 2Q,512967.3,5.849999999999999,74.00766666666667,94.34433333333334,110.082,138.79,3958723.0,0.8,41.2,44761.0,10.6,12501.4,130544.0,130544.0,0.0,19233.4,2155.0,11.2,72.6,13976.9,88.6,47666.1,8.2,,29700.0,79.3,,,,565988.3,4.4,6.0,6.2
2000 3Q,506745.4,5.849999999999999,74.64466666666668,96.28500000000001,110.99266666666666,141.98266666666666,3958723.0,0.8,41.2,44761.0,14.6,14460.8,132455.4,132455.4,0.0,20395.2,2897.8,14.2,72.3,16323.0,89.0,49242.2,9.5,,30000.0,77.6,,,,564910.3,1.6,2.3,2.3
2000 4Q,507630.6,5.8,74.996,96.89366666666666,110.93299999999999,140.63866666666667,4027887.0,1.7,41.1,47968.0,14.7,13276.7,134370.4,134370.4,0.0,24085.0,6199.0,25.7,69.4,15065.7,92.6,49548.7,9.4,,35100.0,75.8,,,,557202.5,2.4,3.3,3.5
2001 1Q,527503.7,5.8,75.36233333333332,94.05633333333333,109.20166666666667,135.73233333333334,4027887.0,1.7,41.1,47968.0,8.3,12923.3,138869.8,138869.8,0.0,23152.1,4265.7,18.4,67.4,14801.0,93.1,49193.9,5.4,3189.0,23200.0,73.2,,,,550640.9,1.6,2.2,2.4
2001 2Q,533928.3,5.8,75.27066666666667,95.78500000000001,110.94166666666666,135.67933333333335,4027887.0,1.7,41.1,47968.0,0.3,12239.5,139706.3,139706.3,0.0,20143.0,1395.8,6.9,64.9,14043.7,94.3,47929.5,0.5,2919.0,3300.0,72.1,,,,548851.9,2.7,3.8,3.9
2001 3Q,522484.6,5.6933333333333325,75.279,93.70299999999999,108.95,129.30166666666665,4027887.0,1.7,41.1,47968.0,-8.2,12545.1,142849.2,142849.2,0.0,20924.2,2439.2,11.7,64.2,14402.5,97.7,46878.8,-4.9,2963.0,-12500.0,70.6,,,,543005.3,2.4,3.3,3.5
2001 4Q,543863.8,5.3,74.84833333333333,90.59666666666668,107.31733333333334,125.20833333333333,4138012.0,2.7,41.0,46191.0,-10.3,11984.9,148999.9,148999.9,0.0,23586.4,5303.5,22.5,66.1,13708.3,92.6,47181.2,-4.7,3463.0,-14100.0,69.6,,,,541403.7,3.9,5.5,5.8
2002 1Q,547389.0,5.333333333333333,74.70733333333334,89.13466666666666,106.30833333333334,124.49900000000001,4138012.0,2.7,41.0,46191.0,-2.2,11468.1,151130.1,151130.1,0.0,22039.5,2973.8,13.5,69.6,13248.5,91.3,48589.8,-1.1,3206.0,-10300.0,69.1,,,,545311.6,3.0,4.2,4.4
2002 2Q,546054.6,5.349999999999999,74.95366666666666,91.27033333333334,107.38999999999999,123.44866666666667,4138012.0,2.7,41.0,46191.0,2.8,11226.5,150702.2,150702.2,0.0,20469.0,1353.8,6.6,70.4,13103.9,89.6,50000.0,4.2,2931.0,-3800.0,69.2,,,,542420.7,4.2,5.6,5.9
2002 3Q,536069.3,5.349999999999999,74.95666666666666,90.54433333333334,106.60566666666666,119.83233333333334,4138012.0,2.7,41.0,46191.0,5.1,10803.5,154938.4,154938.4,0.0,21446.2,2398.4,11.2,69.2,12674.3,91.1,50040.6,6.6,2949.0,-8500.0,69.9,,,,555078.4,3.1,4.2,4.5
2002 4Q,539505.0,5.349999999999999,74.96533333333333,91.21866666666666,106.73766666666667,119.98233333333333,4175950.0,0.9,40.8,47567.0,6.4,10828.4,156751.3,156751.3,0.0,23879.2,4584.4,19.2,69.0,12715.0,91.1,49966.3,6.1,3548.0,-300.0,69.9,,,,557599.4,3.9,5.2,5.4
2003 1Q,547245.4,5.326666666666667,75.21300000000001,94.07633333333332,108.28699999999999,120.25766666666668,4175950.0,0.9,40.8,47567.0,3.9,10474.5,161096.7,161096.7,0.0,22706.7,3377.8,14.9,67.1,12196.1,89.7,50602.0,4.2,3283.0,-4100.0,71.0,,,,563746.1,3.2,4.2,4.3
2003 2Q,561518.1,5.3,75.06599999999999,91.71733333333334,106.83833333333332,117.33166666666666,4175950.0,0.9,40.8,47567.0,-2.9,10117.4,161869.8,161869.8,0.0,20725.4,2284.5,11.0,69.0,11783.6,91.7,49921.5,-0.3,2975.0,-26000.0,72.5,,,,581129.0,4.5,5.9,6.1
2003 3Q,556941.9,5.3,75.30933333333333,91.699,106.52966666666667,116.63533333333334,4175950.0,0.9,40.8,47567.0,2.8,10681.2,166349.7,166349.7,0.0,21226.6,1747.9,8.2,73.0,12455.7,86.5,52758.6,5.3,2988.0,900.0,74.3,,,,596492.7,4.1,5.4,5.6
2003 4Q,579678.4,5.3,75.45366666666666,92.03500000000001,106.59833333333334,115.95666666666666,4114826.0,0.2,40.2,50470.0,6.8,10858.7,169331.9,169331.9,0.0,23593.5,3378.2,14.3,75.2,12638.4,83.3,54270.4,8.9,3605.0,16200.0,75.1,,,,606525.3,4.0,5.4,5.7
2004 1Q,601997.7,5.3,76.135,93.663,106.98200000000001,116.85433333333333,4114826.0,0.2,40.2,50470.0,10.7,11189.1,173110.9,173110.9,0.0,23658.3,3301.5,14.0,78.5,13003.9,83.6,55875.5,10.3,3428.0,13700.0,75.3,,,,621222.6,3.2,4.3,4.6
2004 2Q,614067.9,5.3,76.486,96.04733333333333,108.66433333333333,117.79899999999999,4114826.0,0.2,40.2,50470.0,16.5,11718.1,173945.9,173945.9,0.0,21865.0,1592.5,7.3,78.8,13513.8,82.9,56744.0,13.5,3097.0,10900.0,76.2,,,,634003.8,4.4,5.8,6.2
2004 3Q,608401.8,5.3,76.74433333333333,99.07966666666668,110.129,119.16199999999999,4114826.0,0.2,40.2,50470.0,15.6,12752.6,182085.9,182085.9,0.0,22782.4,2574.0,11.3,78.6,14491.0,83.3,57157.0,8.4,3030.0,14100.0,76.3,,,,645237.7,2.6,3.4,3.7
2004 4Q,614392.8,5.3,76.708,99.78066666666666,109.66699999999999,117.29199999999999,4166664.0,1.3,39.5,54795.0,14.5,11551.4,186598.2,186598.2,0.0,26642.1,5821.0,21.8,77.4,13116.9,84.8,58475.2,7.8,3762.0,32700.0,77.1,,,,660501.7,3.2,4.2,4.6
2005 1Q,622144.8,5.3,76.336,100.00566666666667,109.79733333333333,115.72533333333332,4166664.0,1.3,39.5,54795.0,8.3,11849.4,189761.8,189761.8,0.0,26447.8,5387.8,20.4,79.0,13513.4,85.2,58907.9,5.4,3592.0,17800.0,77.2,,,,668128.5,2.8,3.7,3.8
2005 2Q,639932.6,5.3,76.52766666666666,105.70733333333332,113.68833333333333,119.50666666666666,4166664.0,1.3,39.5,54795.0,9.5,11559.5,195315.4,195315.4,0.0,24118.2,3190.8,13.2,78.8,13147.5,83.6,60391.4,6.2,3175.0,31700.0,73.5,,,,669494.9,4.2,5.6,5.8
2005 3Q,655068.2,5.3,77.09533333333333,110.36500000000001,117.245,122.832,4166664.0,1.3,39.5,54795.0,9.1,12252.5,202633.6,202633.6,0.0,25266.2,4409.8,17.5,80.0,13942.4,83.7,61871.1,8.5,3166.0,28500.0,73.2,2.1118,,,687033.4,2.9,3.8,4.1
2005 4Q,669345.2,5.3,77.54899999999999,109.89333333333333,117.175,122.78666666666668,4265762.0,2.4,39.1,57465.0,10.5,13664.8,200005.6,200005.6,0.0,28914.6,6992.8,24.2,81.0,15492.3,83.6,63863.9,9.2,3843.0,35300.0,73.5,2.8767,2.5711,,697405.3,2.6,3.4,3.7
2006 1Q,680720.0,5.3,77.372,111.23133333333334,118.04066666666667,125.09233333333333,4265762.0,2.4,39.1,57465.0,10.5,12790.0,202016.2,202016.2,0.0,28886.7,6843.7,23.7,81.8,14427.2,84.1,64987.4,10.2,3700.0,45000.0,73.6,3.1984,3.1908,2.8946,717170.7,2.2,2.9,3.2
