Data Series,total_deposits_from_non-bank_customer,Prime Lending Rate,CPI_all_items_base_2019,DSPI_all_items_base_2018,IPI_all_items_base_2018,EPI_all_items_base_2018,lag3q_Total Population (Number),lag3q_Total Population Growth (Per Cent),lag3q_Age Dependency Ratio: Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years (Number),lag3q_per_capita_GDP_in_chain_2015,GDP_year_on_year_growth_rate_current_price,gross_fixed_capital_formation_current_price,total_government_debt,domestic_debt,external_debt,Personal Disposable Income (Million Dollars),Personal Saving (Million Dollars),Personal Saving Rate (Per Cent),composite_leading_index_base_2015,gross_fixed_capital_formation_in_chain_2015,Unit Labour Cost Of Overall Economy,GDP_in_chain_2015,GDP_year_on_year_growth_rate_in_chain_2015,average_MNE_per_employee_overall_economy,total_change_in_employment_quarterly,housing_and_development_board_resale_price_index,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,household_net_worth,Total Unemployment Rate,Resident Unemployment Rate,Citizen Unemployment Rate
2006 2Q,721965.1,5.3,77.43266666666666,113.84100000000001,119.28066666666666,123.94966666666666,4265762.0,2.4,39.1,57465.0,11.9,12492.2,207714.9,207714.9,0.0,28501.3,6339.9,22.2,82.3,14114.6,84.9,65714.2,8.8,3297.0,36400.0,74.3,3.2424,3.1379,3.1809,726811.6,3.4,4.5,4.7
2006 3Q,749743.8,5.32,77.65733333333333,114.41933333333333,119.18933333333332,123.325,4265762.0,2.4,39.1,57465.0,11.2,13911.7,211387.0,211387.0,0.0,27422.7,5225.9,19.1,82.0,15681.3,85.3,66961.0,8.6,3256.0,43000.0,74.2,3.3097,3.2571,3.2069,745092.1,2.4,3.2,3.2
2006 4Q,795206.3,5.33,78.007,107.82133333333333,114.495,118.50699999999999,4401365.0,3.2,38.5,60711.0,10.6,15327.5,206438.7,206438.7,0.0,31654.1,8064.4,25.5,83.9,17166.9,86.2,69557.6,8.5,3961.0,51500.0,74.9,3.1566,3.278,3.2808,769610.2,2.6,3.6,3.7
2007 1Q,850969.0,5.33,77.271,106.765,112.789,116.98366666666668,4401365.0,3.2,38.5,60711.0,13.9,15107.8,211055.7,211055.7,0.0,31759.5,7925.9,25.0,87.3,16418.4,88.1,70566.9,8.6,3903.0,49400.0,75.8,2.5594,2.9446,3.1255,803806.1,2.5,3.4,3.5
2007 2Q,907065.3,5.33,78.31533333333334,111.20933333333333,115.07366666666667,118.23466666666667,4401365.0,3.2,38.5,60711.0,16.9,15962.4,222813.7,222813.7,0.0,30460.5,5740.7,18.8,90.3,16961.7,91.1,72209.6,10.0,3578.0,64400.0,78.1,2.187,2.2641,2.6142,854024.2,2.9,4.0,4.2
2007 3Q,920736.8999999999,5.33,80.09833333333333,113.43400000000001,116.481,118.55166666666666,4401365.0,3.2,38.5,60711.0,17.3,15948.6,228451.7,228451.7,0.0,30689.2,5673.1,18.5,90.8,16885.0,89.2,74131.0,11.0,3481.0,58600.0,83.2,2.2305,2.2806,2.2788,889085.7,1.5,2.1,2.2
2007 4Q,941570.8,5.33,81.31933333333333,117.12166666666667,117.86366666666667,119.12133333333333,4588599.0,4.3,37.9,63488.0,13.9,19453.1,234093.2,234093.2,0.0,34770.4,8080.0,23.2,90.7,20643.4,91.4,74448.5,6.6,4130.0,62500.0,88.0,0.9049,1.6103,1.9512,914074.4,1.6,2.3,2.5
2008 1Q,970006.0,5.38,82.39733333333334,119.17866666666667,118.08133333333335,118.66633333333334,4588599.0,4.3,37.9,63488.0,8.1,18480.3,243920.1,243920.1,0.0,35050.0,8247.6,23.5,89.0,19429.2,89.1,76342.4,8.2,4316.0,73200.0,91.3,0.7635,1.0867,1.3521,930602.5,1.8,2.6,2.8
2008 2Q,1003673.0,5.38,84.22666666666667,127.91100000000002,122.25866666666667,122.97533333333332,4588599.0,4.3,37.9,63488.0,2.2,19323.6,250703.3,250703.3,0.0,32055.9,4744.2,14.8,88.9,20036.0,91.2,74425.3,3.3,3690.0,71400.0,95.4,0.3334,0.513,0.7985,938489.9,2.8,4.0,4.1
2008 3Q,1014193.6,5.38,85.37366666666667,130.83733333333333,125.20833333333333,124.65866666666666,4588599.0,4.3,37.9,63488.0,0.1,19381.1,248406.9,248406.9,0.0,33657.1,6272.4,18.6,88.7,19682.1,94.1,73948.4,-0.1,3674.0,55700.0,99.4,1.1193,0.6927,0.6033,927667.0,1.9,2.8,2.9
2008 4Q,1039721.0,5.38,86.01666666666667,104.45733333333334,110.68633333333332,112.64866666666667,4839396.0,5.5,37.2,61319.0,-7.6,19460.8,255464.8,255464.8,0.0,35335.7,7392.3,20.9,79.9,19387.9,94.9,72248.2,-3.4,4229.0,21300.0,100.8,0.3899,0.4664,0.58,912107.5,2.4,3.5,3.7
2009 1Q,1070797.7,5.38,85.16466666666668,98.10233333333333,107.49433333333333,108.11566666666666,4839396.0,5.5,37.2,61319.0,-5.7,19282.9,264210.4,264210.4,0.0,36710.6,9839.7,26.8,78.9,19303.2,96.9,70353.2,-7.7,4155.0,-6200.0,100.0,0.2943,0.2026,0.3361,892148.5,3.0,4.4,4.7
2009 2Q,1099518.8,5.38,84.38166666666667,102.69066666666667,108.983,108.87033333333333,4839396.0,5.5,37.2,61319.0,-0.2,20843.8,275536.4,275536.4,0.0,32854.0,5768.7,17.6,84.7,21096.8,93.1,73327.8,-1.2,3609.0,-7700.0,101.4,0.1568,0.1269,0.1642,921907.3,4.1,5.9,6.1
2009 3Q,1126181.0,5.38,85.106,106.66033333333333,110.707,110.844,4839396.0,5.5,37.2,61319.0,3.7,20321.7,286014.0,286014.0,0.0,32915.1,5189.3,15.8,90.5,20668.6,90.0,76172.4,2.8,3562.0,13900.0,105.0,0.2199,0.2063,0.1666,988166.7,2.9,4.1,4.2
2009 4Q,1154920.9,5.38,85.379,107.83366666666666,110.73366666666668,110.68233333333335,4987573.0,3.1,36.5,59573.0,14.9,20987.0,291501.8,291501.8,0.0,36480.6,7738.1,21.2,93.7,21775.8,89.8,77291.7,6.8,4160.0,37500.0,109.0,0.1101,0.2204,0.2134,1031439.9,2.1,2.9,3.1
2010 1Q,1187267.5,5.38,85.94833333333334,109.72533333333332,111.106,112.25999999999999,4987573.0,3.1,36.5,59573.0,20.2,20465.7,300468.4,300468.4,0.0,38327.5,9321.5,24.3,96.5,21488.5,89.5,81783.0,16.3,4310.0,36500.0,112.1,0.1047,0.1323,0.1769,1074487.5,2.1,3.1,3.2
2010 2Q,1212840.8,5.38,86.95666666666666,109.88366666666667,110.76133333333333,112.41066666666666,4987573.0,3.1,36.5,59573.0,18.8,20461.1,306690.1,306690.1,0.0,35362.3,6085.1,17.2,95.2,21736.5,85.8,86693.4,18.6,3819.0,24900.0,116.6,0.1383,0.1179,0.1246,1109150.0,2.8,4.1,4.4
2010 3Q,1239832.0,5.38,87.962,106.49866666666667,109.096,109.99000000000001,4987573.0,3.1,36.5,59573.0,12.6,20913.1,312000.8,312000.8,0.0,36778.5,7534.0,20.5,95.1,22184.9,91.4,84282.5,10.3,3754.0,20500.0,121.3,0.1125,0.1137,0.1158,1153577.9,1.8,2.6,2.8
2010 4Q,1293786.7,5.38,88.76566666666668,108.85166666666667,110.17266666666667,109.794,5076732.0,1.8,35.7,67026.0,12.4,21768.0,321182.3,321182.3,0.0,41120.2,9830.4,23.9,96.6,23026.9,91.5,87553.0,13.3,4474.0,33900.0,124.4,0.0661,0.0783,0.096,1185892.1,2.0,2.7,3.0
2011 1Q,1320894.4,5.38,90.40066666666667,116.51466666666666,115.13499999999999,113.64266666666667,5076732.0,1.8,35.7,67026.0,11.1,20095.3,331163.0,331163.0,0.0,42108.6,11131.3,26.4,96.6,21310.4,90.9,89200.1,9.2,4677.0,28300.0,126.4,0.0264,0.0604,0.0694,1211997.5,1.8,2.6,2.7
2011 2Q,1367262.4,5.38,91.065,118.42333333333333,115.707,114.41533333333332,5076732.0,1.8,35.7,67026.0,6.3,21971.3,342211.4,342211.4,0.0,39988.0,7948.6,19.9,97.2,23366.6,91.7,88981.2,2.9,4048.0,24800.0,130.4,0.0496,0.0632,0.0617,1236275.5,2.7,3.9,4.0
2011 3Q,1407692.9,5.38,92.83466666666668,116.43766666666666,114.02766666666666,111.79166666666667,5076732.0,1.8,35.7,67026.0,7.7,23739.2,345973.6,345973.6,0.0,38914.0,7190.0,18.5,93.8,25291.9,90.7,91293.3,7.8,3956.0,31900.0,135.4,0.054,0.0474,0.0553,1249706.6,1.8,2.5,2.6
2011 4Q,1444762.6,5.38,93.68033333333334,120.12933333333335,117.47166666666668,115.03633333333333,5183688.0,2.1,35.3,69722.0,5.0,22967.0,354023.4,354023.4,0.0,43745.3,9830.5,22.5,94.1,24097.3,91.0,91872.1,5.3,4655.0,37600.0,137.7,0.0456,0.0525,0.0499,1265579.7,1.8,2.5,2.7
2012 1Q,1463738.9,5.38,94.81533333333334,123.68033333333334,119.66033333333333,116.13033333333334,5183688.0,2.1,35.3,69722.0,5.4,24284.8,367172.5,367172.5,0.0,45755.8,12038.3,26.3,98.3,25525.5,91.8,93551.8,4.8,4717.0,27200.0,138.5,0.044,0.0516,0.0521,1301337.8,1.9,2.8,3.0
2012 2Q,1475239.9,5.38,95.85300000000001,118.86466666666666,115.77966666666667,113.86500000000001,5183688.0,2.1,35.3,69722.0,7.3,23753.7,371325.3,371325.3,0.0,42247.1,8180.3,19.4,96.3,24781.6,92.8,94392.9,6.2,4162.0,31700.0,140.3,0.0516,0.0479,0.0497,1310096.1,2.6,3.7,3.9
2012 3Q,1508272.1,5.38,96.72933333333333,116.627,114.012,111.30233333333332,5183688.0,2.1,35.3,69722.0,2.3,24074.9,380818.0,380818.0,0.0,43373.0,9377.5,21.6,95.6,25461.7,95.0,93478.1,2.0,4078.0,26200.0,143.1,0.0752,0.0687,0.0585,1337137.3,1.7,2.4,2.6
2012 4Q,1536794.2,5.38,97.42033333333332,114.498,111.527,108.73700000000001,5312437.0,2.5,35.7,71051.0,4.9,25352.6,384997.6,384997.6,0.0,48353.8,12559.9,26.0,96.7,26414.9,94.5,95919.0,4.7,4773.0,44000.0,146.7,0.0574,0.0631,0.0687,1368617.9,1.6,2.4,2.6
2013 1Q,1595502.2999999998,5.38,98.60066666666667,116.12433333333333,113.06333333333333,109.94133333333332,5312437.0,2.5,35.7,71051.0,3.0,25193.7,396466.3,396466.3,0.0,49763.2,14263.6,28.7,98.5,26112.5,93.8,96792.9,3.4,4948.0,28900.0,148.6,0.052,0.0494,0.0588,1400859.1,1.8,2.7,2.8
2013 2Q,1612816.7999999998,5.38,97.40833333333335,113.516,110.79833333333333,108.69966666666666,5312437.0,2.5,35.7,71051.0,3.2,25917.9,392595.2,392595.2,0.0,44880.1,8886.3,19.8,99.2,26262.4,94.3,98773.0,4.6,4329.0,33700.0,149.4,0.0421,0.0489,0.0492,1410304.2,2.6,3.9,4.0
2013 3Q,1612978.7999999998,5.38,98.504,115.866,112.45100000000001,110.44333333333334,5312437.0,2.5,35.7,71051.0,6.4,27838.7,388073.2,388073.2,0.0,46072.7,10746.1,23.3,99.7,28683.0,94.5,99453.8,6.1,4212.0,33100.0,148.1,0.0285,0.0395,0.0444,1426052.6,1.6,2.2,2.4
2013 4Q,1611728.2000000002,5.38,99.38133333333333,115.51400000000001,111.80133333333333,108.68533333333335,5399162.0,1.6,36.1,73276.0,4.8,27074.7,390407.1,390407.1,0.0,51359.7,14494.2,28.2,100.3,27419.3,96.2,100380.5,5.1,4998.0,40600.0,145.8,0.0495,0.0635,0.0515,1425245.3,1.6,2.3,2.5
2014 1Q,1633629.4,5.349999999999999,99.57966666666665,115.98200000000001,112.58166666666666,109.176,5399162.0,1.6,36.1,73276.0,3.5,27491.4,381141.8,381141.8,0.0,52921.6,16049.6,30.3,101.5,27679.7,96.7,101098.9,4.3,5108.0,28400.0,143.5,0.0828,0.056,0.0598,1435787.4,1.9,2.7,2.8
2014 2Q,1612447.5,5.349999999999999,99.50866666666667,114.41333333333334,111.25999999999999,107.90933333333334,5399162.0,1.6,36.1,73276.0,2.9,27297.6,378335.4,378335.4,0.0,47943.4,10466.3,21.8,102.4,27583.2,97.1,102161.8,3.3,4445.0,27700.0,141.5,0.0706,0.0746,0.0645,1453350.5,2.6,3.7,3.9
2014 3Q,1627357.8,5.349999999999999,99.50266666666666,112.06866666666667,109.57633333333332,106.88066666666667,5399162.0,1.6,36.1,73276.0,3.7,27994.2,384530.6,384530.6,0.0,49776.7,13114.9,26.3,102.2,28286.4,98.3,103095.2,3.7,4314.0,33400.0,139.1,0.0957,0.081,0.0778,1456005.8,1.7,2.3,2.4
2014 4Q,1642995.2,5.349999999999999,99.34133333333334,103.14333333333333,102.02933333333333,103.69600000000001,5469724.0,1.3,36.7,75178.0,4.5,29433.6,387250.7,387250.7,0.0,54767.4,15836.1,28.9,103.0,29505.8,98.2,104657.1,4.5,5040.0,40700.0,137.0,0.1437,0.1146,0.0978,1463054.3,1.6,2.2,2.3
2015 1Q,1663341.9,5.349999999999999,99.258,95.62966666666667,95.98466666666667,100.30433333333333,5469724.0,1.3,36.7,75178.0,6.3,27039.6,395993.3,395993.3,0.0,56754.9,17805.4,31.4,100.7,26934.7,100.0,104217.8,3.0,5259.0,-6100.0,135.6,0.2561,0.2325,0.173,1490599.3,1.7,2.4,2.5
2015 2Q,1664363.7999999998,5.349999999999999,99.093,98.52499999999999,98.21,100.651,5469724.0,1.3,36.7,75178.0,6.2,28880.3,407877.6,407877.6,0.0,50930.7,11633.6,22.8,101.4,29042.4,99.7,105493.1,3.1,4611.0,9700.0,135.0,0.2199,0.2204,0.227,1498855.2,2.6,3.8,4.0
2015 3Q,1662700.6,5.349999999999999,98.88033333333334,93.28666666666668,94.48266666666666,99.74266666666666,5469724.0,1.3,36.7,75178.0,6.7,28923.0,411197.9,411197.9,0.0,52185.6,13987.9,26.8,99.3,29017.8,99.8,106809.9,3.7,4493.0,12600.0,134.6,0.1856,0.2226,0.2216,1499342.8,1.7,2.5,2.7
2015 4Q,1681951.1,5.349999999999999,98.62133333333333,89.908,91.757,97.392,5535002.0,1.2,37.4,76503.0,5.4,30428.2,421302.1,421302.1,0.0,57275.5,16376.0,28.6,98.7,30276.3,100.6,106787.8,2.2,5205.0,16100.0,134.8,0.2633,0.3282,0.2755,1518715.9,1.6,2.4,2.5
2016 1Q,1697794.0999999999,5.349999999999999,98.42233333333333,84.498,87.27733333333333,93.35266666666666,5535002.0,1.2,37.4,76503.0,2.9,27266.8,435976.3,435976.3,0.0,58783.7,18239.5,31.0,98.5,27443.2,101.9,107695.8,3.3,5483.0,13000.0,134.7,0.2915,0.3139,0.3212,1550793.8,1.8,2.5,2.5
2016 2Q,1722457.5,5.349999999999999,98.17933333333333,87.11399999999999,89.242,93.24233333333332,5535002.0,1.2,37.4,76503.0,2.9,29322.2,441278.4,441278.4,0.0,52793.8,13054.3,24.7,100.0,29775.7,101.9,108861.0,3.0,4789.0,4200.0,134.7,0.1049,0.221,0.2682,1570726.1,2.8,4.1,4.2
2016 3Q,1750323.4,5.349999999999999,98.49866666666667,87.18133333333333,89.40166666666666,92.678,5535002.0,1.2,37.4,76503.0,3.4,27761.3,446329.2,446329.2,0.0,54341.6,15373.5,28.3,100.6,28305.0,101.4,109957.9,3.1,4646.0,-2700.0,134.7,0.0725,0.1371,0.1791,1596123.6,1.8,2.5,2.7
2016 4Q,1785656.0,5.349999999999999,98.64533333333333,92.37599999999999,94.32966666666665,97.42233333333333,5607283.0,1.3,38.0,78206.0,6.8,30352.9,463165.6,463165.6,0.0,59285.6,17940.4,30.3,101.9,30469.5,99.4,111945.5,4.8,5379.0,2300.0,134.6,0.199,0.1313,0.1342,1621282.5,1.9,2.7,2.9
2017 1Q,1810782.7000000002,5.28,99.03766666666667,95.89800000000001,96.52933333333334,98.76633333333332,5607283.0,1.3,38.0,78206.0,8.7,28336.4,479226.5,479226.5,0.0,60631.0,19872.5,32.8,105.6,28779.4,100.2,112689.8,4.7,5586.0,-6800.0,133.9,0.2652,0.2567,0.1952,1657535.9,2.1,3.0,3.2
2017 2Q,1820386.6,5.28,98.93866666666668,92.88366666666667,94.65033333333334,96.296,5607283.0,1.3,38.0,78206.0,6.4,30244.2,483356.2,483356.2,0.0,54668.3,13503.1,24.7,105.7,30830.2,100.8,113089.9,3.8,4939.0,-7300.0,133.7,0.51,0.4846,0.3722,1681089.8,2.9,4.2,4.4
2017 3Q,1824462.0,5.28,98.93933333333332,91.78633333333333,93.59733333333332,95.20266666666667,5607283.0,1.3,38.0,78206.0,6.9,29216.7,496028.0,496028.0,0.0,56215.4,15343.1,27.3,107.0,30139.1,98.9,115913.4,5.5,4795.0,-2300.0,132.8,0.5865,0.716,0.5968,1703850.2,1.9,2.7,2.8
2017 4Q,1824210.9,5.28,99.099,95.33999999999999,96.51933333333334,97.22666666666667,5612253.0,0.1,38.9,81779.0,8.4,32016.0,502021.9,502021.9,0.0,62239.1,18161.1,29.2,109.5,32362.8,99.0,117251.1,4.7,5596.0,12700.0,132.6,0.9668,0.8358,0.7763,1733335.4,1.8,2.5,2.6
2018 1Q,1825725.9,5.33,99.27833333333335,95.84533333333333,95.36166666666666,96.60066666666667,5612253.0,0.1,38.9,81779.0,5.2,27905.4,517091.7,517091.7,0.0,63747.9,20999.0,32.9,109.7,28458.2,99.2,118161.0,5.0,5808.0,3700.0,131.6,0.6597,0.682,0.76,1768886.8,1.9,2.7,2.7
2018 2Q,1840486.8,5.33,99.26233333333333,99.74333333333334,99.05366666666667,99.39699999999999,5612253.0,0.1,38.9,81779.0,8.7,29323.0,527981.2,527981.2,0.0,57613.2,14022.7,24.3,109.4,29821.2,100.0,118949.7,5.1,5119.0,6500.0,131.7,0.9096,0.8872,0.7865,1805178.1,2.7,3.9,4.1
2018 3Q,1861532.2999999998,5.33,99.63,103.70666666666666,103.15933333333334,102.50133333333333,5612253.0,0.1,38.9,81779.0,9.9,27777.7,535829.0,535829.0,0.0,59277.8,16306.3,27.5,108.6,28196.3,99.6,119702.0,3.2,4962.0,19300.0,131.6,1.0518,1.2199,1.0536,1824716.5,1.9,2.5,2.6
2018 4Q,1875442.4,5.33,99.581,100.705,102.42533333333334,101.50100000000002,5638676.0,0.5,39.9,84376.0,5.5,29153.9,546699.5,546699.5,0.0,65689.8,19902.4,30.3,108.6,29409.9,100.2,119022.9,1.5,5752.0,15900.0,131.4,1.6542,1.4504,1.3376,1824530.4,1.9,2.6,2.7
2019 1Q,1931913.1,5.25,99.77066666666667,96.69466666666666,98.81400000000001,98.617,5638676.0,0.5,39.9,84376.0,3.8,28346.3,561629.0,561629.0,0.0,66622.5,20988.0,31.5,106.5,28566.1,101.1,119521.2,1.3,6005.0,13800.0,131.0,1.4258,1.5284,1.4856,1868886.3,2.0,2.8,2.9
2019 2Q,1983480.7999999998,5.25,100.03866666666666,97.18333333333334,100.335,99.375,5638676.0,0.5,39.9,84376.0,1.5,29877.1,570683.4,570683.4,0.0,60174.8,15021.7,25.0,105.1,29974.6,102.2,120089.9,1.0,5225.0,6800.0,130.8,1.6069,1.735,1.6361,1910545.5,3.0,4.2,4.4
2019 3Q,2014147.7999999998,5.25,99.981,97.16300000000001,99.245,99.681,5638676.0,0.5,39.9,84376.0,-0.2,29326.6,612971.4,612971.4,0.0,62078.3,17347.2,27.9,105.6,29432.2,102.6,120592.5,0.7,5183.0,27500.0,130.9,1.4126,1.5273,1.6304,1947578.4,2.0,2.8,2.9
2019 4Q,2042985.9,5.25,100.20966666666668,95.94866666666667,97.47166666666665,96.71333333333332,5703569.0,1.2,41.1,84330.0,-1.9,29880.2,641094.3,641094.3,0.0,67172.0,20680.7,30.8,104.6,29868.2,101.4,120839.4,1.3,5783.0,21600.0,131.5,1.2666,1.2682,1.4002,1993205.5,2.0,2.7,2.8
2020 1Q,2108964.4,5.25,100.13866666666667,93.30866666666667,95.40133333333334,95.10233333333333,5703569.0,1.2,41.1,84330.0,-0.3,28600.1,656258.0,656258.0,0.0,67158.3,22829.4,34.0,101.8,28628.2,101.3,120778.3,1.2,6148.0,-25400.0,131.5,0.5174,0.8929,1.083,1982068.7,2.2,3.1,3.2
2020 2Q,2222162.2,5.25,99.33066666666667,84.44600000000001,88.77766666666666,90.15966666666668,5703569.0,1.2,41.1,84330.0,-15.0,20634.6,684763.9,684763.9,0.0,63459.2,31578.6,49.8,100.5,20876.6,84.2,105503.7,-12.2,5276.0,-113500.0,131.9,0.0991,0.143,0.5205,2051856.9,3.8,5.2,5.5
2020 3Q,2248359.8,5.25,99.70800000000001,88.02833333333332,91.86566666666666,91.41733333333333,5703569.0,1.2,41.1,84330.0,-8.5,22570.0,690148.7,690148.7,0.0,61348.4,22972.6,37.4,107.3,23082.2,91.8,115240.6,-4.6,5214.0,-34400.0,133.9,0.1079,0.0997,0.1214,2093235.8,3.2,4.3,4.4
2020 4Q,2286992.5,5.25,100.09499999999998,87.67033333333332,92.057,90.11200000000001,5685807.0,-0.3,42.3,81089.0,-4.4,28341.1,704721.4,704721.4,0.0,66777.1,25966.2,38.9,111.0,28569.2,92.2,119592.3,-0.9,5877.0,-7800.0,138.1,0.1411,0.1283,0.114,2164218.6,2.8,3.8,3.8
2021 1Q,2307581.8,5.25,100.89800000000001,94.50600000000001,97.59933333333333,94.153,5685807.0,-0.3,42.3,81089.0,2.5,29790.5,728756.2,728756.2,0.0,67147.5,25678.6,38.2,110.9,29534.3,93.7,123152.1,2.0,6159.0,13900.0,142.2,0.2303,0.2295,0.1784,2231417.1,2.6,3.5,3.7
2021 2Q,2334183.4000000004,5.25,101.60766666666666,99.25533333333334,100.28233333333333,99.68966666666667,5685807.0,-0.3,42.3,81089.0,23.1,29920.3,744302.0,744302.0,0.0,62108.4,21939.7,35.3,112.0,29824.9,96.5,122163.7,15.8,5474.0,-19900.0,146.4,0.131,0.1349,0.1824,2282483.3,3.4,4.6,4.9
